Index,City,lon,lat
1,D�sseldorf,"6,7734556","51,2277411"
2,Verviers,"5,8655951","50,5910564"
3,Mondorf-les-Bains,"6,2801403","49,5078241"
4,Vittel,"5,9434965","48,2025406"
5,Vesoul,"6,15428","47,619788"
6,Troyes,"4,0744009","48,2973451"
7,Dole,"-94,7323481","38,9697427"
8,Nantua,"5,607762","46,153405"
9,P�rigueux,"0,7211149","45,184029"
10,Eymet,"0,397723","44,668628"
11,Pau,"-0,370797","43,2951"
12,Saint-Girons,"1,146088","42,982876"
13,Blagnac,"1,39703","43,635087"
14,Laissac-S�v�rac-l'�glise,"2,846292","44,362405"
15,Le Puy-en-Velay,"3,882936","45,42768"
16,La Mure,"5,784528","44,906521"
17,Brian�on,"6,643179","44,899416"
18,Embrun,"-75,275411","45,275646"
19,Marseille,"5,36978","43,296482"
20,Montgeron,"2,4604529","48,703859"
21,Mont Saint-Michel,"-1,511457","48,636063"
22,Saint-L�,"-1,0828136","49,1154686"
23,Granville,"-118,255375","34,1449828"
24,Saumur,"-0,080893","47,260135"
25,Limoges,"1,261105","45,833619"
26,Arpajon-sur-C�re,"2,4582799","44,901275"
27,L'Isle-Jourdain,"1,081741","43,6138369"
28,Vielha Val d'Aran,"0,7722974","42,7245643"
29,Escaldes-Engordany,"1,5886966","42,4909379"
30,Carcassonne,"2,3517703","43,2132151"
31,Montpellier,"3,876716","43,610769"
32,Bourg-Saint-And�ol,"4,647069","44,3691869"
33,Mont�limar,"4,749496","44,556944"
34,Bourg-en-Bresse,"5,2255007","46,2051675"
35,Moirans-en-Montagne,"5,723854","46,4308989"
36,Bern,"7,4474468","46,9479739"
37,Sallanches,"6,6305569","45,936661"
38,Albertville,"-93,6687657","45,2312337"
39,Meg�ve,"6,61775","45,856876"
40,Chantilly,"-77,4310992","38,8942786"
41,Utrecht,"5,1214201","52,907374"
42,Antwerp,"4,4024643","51,2194475"
43,Seraing,"5,4996296","50,5838832"
44,Arras,"2,777535","50,291002"
45,Abbeville,"-92,1342921","29,9746502"
46,Livarot,"0,149727","49,436"
47,Rennes,"-1,6777926","48,117266"
48,Vannes,"-2,760847","47,658236"
49,Tarbes,"0,078082","43,232951"
50,Lannemezan,"0,38396","43,125519"
51,Muret,"1,33071","43,461574"
52,Rodez,"2,575986","44,349389"
53,Mende,"3,501873","44,517611"
54,Bourg-de-P�age,"5,050948","45,40419"
55,Digne-les-Bains,"6,235976","44,92193"
56,Gap,"-95,9640955","36,1322894"
57,Saint-Jean-de-Maurienne,"6,344886","45,275403"
58,Modane,"6,67292","45,201491"
59,S�vres,"2,2109771","48,8212407"
60,Leeds,"-1,5490774","53,8007554"
61,York,"-95,8402258","36,366068"
62,Cambridge,"0,121817","52,205337"
63,Le Touquet-Paris-Plage,"1,590675","50,521276"
64,Ypres,"2,8779388","50,8492265"
65,�pernay,"3,956242","49,43411"
66,Tomblaine,"6,221307","48,683482"
67,G�rardmer,"6,877292","48,70081"
68,Mulhouse,"7,335888","47,750839"
69,Besan�on,"6,0240539","47,237829"
70,Saint-�tienne,"4,3871779","45,439695"
71,Grenoble,"5,724524","45,188529"
72,Tallard,"6,055327","44,461865"
73,Saint-Gaudens,"-72,3687458","43,5010949"
74,Maubourguet Pays du Val d�Adour,"0,0370811","43,4675723"
75,Bergerac,"-122,4137329","37,7714444"
76,�vry,"2,441782","48,629828"
77,Porto-Vecchio,"9,278311","41,591369"
78,Bastia,"9,450881","42,697283"
79,Ajaccio,"8,738635","41,919229"
80,Nice,"-95,9920829","36,1597653"
81,Cagnes-sur-Mer,"7,14882","43,663739"
82,Aix-en-Provence,"5,447427","43,529742"
83,Castres,"2,241295","43,606214"
84,Saint-Gildas-des-Bois,"-2,037288","47,517319"
85,Avranches,"-1,36166","48,686843"
86,Foug�res,"-1,204626","48,3515609"
87,Tours,"0,68484","47,394144"
88,Saint-Pour�ain-sur-Sioule,"3,288997","46,307204"
89,Givors,"4,772829","45,58329"
90,Vaison-la-Romaine,"5,075198","44,240968"
91,Le Bourg-d'Oisans,"6,030064","45,51951"
92,Annecy,"6,129384","45,899247"
93,Versailles,"2,1203554","48,8048649"
94,Li�ge,"5,5796662","50,6325574"
95,Vis�,"5,699039","50,7371584"
96,Orchies,"3,2428","50,4745"
97,Rouen,"1,099971","49,443232"
98,Belfort,"-77,4318392","39,2934"
99,Arc-et-Senans,"5,781165","47,32958"
100,M�con,"4,828731","46,3068839"
101,Saint-Paul-Trois-Ch�teaux,"4,768295","44,348678"
102,Limoux,"2,218142","43,53289"
103,Samatan,"0,9306663","43,4921294"
104,Bagn�res-de-Luchon,"0,592943","42,788963"
105,Bonneval,"1,385289","48,181453"
106,Rambouillet,"1,829079","48,643868"
107,Passage du Gois,"-2,1240787","46,9306525"
108,Les Essarts,"-1,23052","46,774141"
109,Olonne-sur-Mer,"-1,772826","46,536402"
110,Lorient,"-3,3702449","47,7482524"
111,Carhaix,"-3,574188","48,275584"
112,Dinan,"-121,6506095","37,1417922"
113,Le Mans,"-89,0068311","42,7250835"
114,Aigurande,"1,828597","46,434011"
115,Issoire,"3,248128","45,54151"
116,Aurillac,"2,444997","44,930953"
117,Blaye-les-Mines,"2,1316","44,30913"
118,Cugnaux,"1,344995","43,537141"
119,Pinerolo,"7,3306676","44,8845906"
120,Cr�teil,"2,455572","48,790367"
121,Rotterdam,"4,4777326","51,9244201"
122,Brussels,"4,3517211","50,8503463"
123,Wanze,"5,2141304","50,5344663"
124,Cambrai,"3,236633","50,173538"
125,Montargis,"2,736291","47,99729"
126,Tournus,"4,9119529","46,561816"
127,Station des Rousses,"6,061806","46,48434"
128,Morzine-Avoriaz,"6,775103","46,18823"
129,Chamb�ry,"5,917781","45,564601"
130,Sisteron,"5,943191","44,194713"
131,Revel,"-97,3136109","38,414964"
132,Pamiers,"1,607953","43,114753"
133,Salies-de-B�arn,"-0,924854","43,470556"
134,Bordeaux,"-0,57918","44,837789"
135,Longjumeau,"2,2947615","48,6930642"
136,Monaco,"7,4246158","43,7384176"
137,Cap d'Agde,"3,5053993","43,2807386"
138,Girona,"2,8214264","41,9794005"
139,Barcelona,"2,1734035","41,3850639"
140,Andorra la Vella,"1,5218355","42,5063174"
141,Vatan,"-73,980337","40,7423608"
142,Tonnerre,"3,973527","47,856724"
143,Colmar,"7,358512","48,793589"
144,Pontarlier,"6,354242","46,9041039"
145,Martigny,"7,0755334","46,1049798"
146,Bourg-Saint-Maurice,"6,769548","45,618598"
147,Bourgoin-Jallieu,"5,27212","45,597108"
148,Montereau-Fault-Yonne,"2,956193","48,384734"
149,Brest,"-4,486076","48,390394"
150,Auray,"-2,983767","47,666491"
151,Saint-Malo,"-2,025674","48,649337"
152,Cholet,"-0,879787","47,59407"
153,Brioude,"3,386482","45,295564"
154,Figeac,"2,032871","44,608288"
155,Toulouse,"1,444209","43,604652"
156,Lavelanet,"1,851472","42,937653"
157,Narbonne,"3,003078","43,184277"
158,N�mes,"4,360054","43,836699"
159,Cuneo,"7,5426711","44,3844766"
160,Bourg-d'Oisans,"6,030064","45,51951"
161,Roanne,"4,072695","46,34432"
162,C�rilly,"2,822083","46,6176"
163,�tampes,"2,16142","48,434416"
164,London,"-0,1277583","51,5073509"
165,Dunkirk,"2,3767763","51,343684"
166,Waregem - Compi�gne,"3,4231675","50,8868949"
167,Villers-Cotter�ts,"3,0908159","49,255061"
168,Chablis,"3,800451","47,815269"
169,Semur-en-Auxois,"4,33234","47,490238"
170,Le Grand-Bornand,"6,426699","45,942027"
171,Val-d'Is�re,"6,980226","45,448034"
172,Albi,"2,1486413","43,9250853"
173,Mazamet,"2,376579","43,490103"
174,Foix,"1,605232","42,964127"
175,Orthez,"-0,7739279","43,48756"
176,Cahors,"1,441989","44,4475229"
177,Cognac,"-0,328744","45,691046"
178,Marcoussis,"2,2298809","48,642446"
179,Strasbourg,"7,7521113","48,5734053"
180,Obernai,"7,48168","48,46226"
181,Esch-sur-Alzette,"5,9860925","49,5008805"
182,Huy,"5,2396656","50,5187153"
183,Beauvais,"2,0807123","49,4295387"
184,Lisieux,"0,227849","49,145922"
185,Saint Gr�goire,"-1,683146","48,153561"
186,Saint-M�en-le-Grand,"-2,192985","48,189812"
187,Cambo-les-Bains,"-1,3999053","43,3605565"
188,Luchon,"0,592943","42,788963"
189,B�ziers,"3,215795","43,344233"
190,Morzine,"6,708877","46,179192"
191,Le Creusot,"4,4278","46,805351"
192,Antony/Parc de Sceaux,"2,3102324","48,7706912"
193,Fromentine,"-2,140027","46,889175"
194,Challans,"-1,880412","46,844828"
195,La Ch�taigneraie,"6,1715518","46,3400962"
196,Chambord,"1,516878","47,614158"
197,Lun�ville,"6,492339","48,592237"
198,Pforzheim,"8,6946286","48,8921862"
199,Courchevel,"6,63469","45,414659"
200,Miramas,"5,002136","43,588896"
201,Agde,"3,4768109","43,3088031"
202,L�zat-sur-L�ze,"1,346575","43,276267"
203,Mourenx,"-0,620552","43,368262"
204,Corbeil-Essonnes,"2,474805","48,6102599"
205,Charleroi,"4,444643","50,4108095"
206,Waterloo,"4,3991","50,71469"
207,Amiens,"2,295753","49,894067"
208,Ch�teaubriant,"-1,3762239","47,720948"
209,Lamballe,"-2,517322","48,468637"
210,Saint-L�onard-de-Noblat,"1,486205","45,8367"
211,Saint-Flour,"3,094862","45,33026"
